
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1934,21,BOS,hb,,10,2,,1,4,25.0,25,0,0.0,1,25.0,25,6.3,-5.0,25.0,2.5,13.5,,,,,,0,0
1935,22,2TM,,,9,1,,4,18,22.2,51,0,0.0,1,5.6,0,2.8,0.3,12.8,5.7,16.4,,,,,,0,0
,,BOS,hb,,6,1,,4,18,22.2,51,0,0.0,1,5.6,0,2.8,0.3,12.8,8.5,16.4,,,,,,0,0
Career,,,,,19,3,,5,22,22.7,76,0,0.0,2,9.1,25,3.5,-0.6,15.2,4.0,3.6,,,,,,0,0
2 yrs,,BOS,,,16,3,,5,22,22.7,76,0,0.0,2,9.1,25,3.5,-0.6,15.2,4.8,3.6,,,,,,0,0
1 yr,,BKN,,,3,0,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0,0
