
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1955,22,BAL,QB,14,12,12,68,301,3,37,4.4,25.1,5.7,,,,,,,,,301,3,6
1956,23,BAL,qb,14,5,5,20,63,0,19,3.2,12.6,4.0,,,,,,,,,63,0,0
1957,24,BAL,,14,7,,5,30,1,11,6.0,4.3,0.7,,,,,,,,,30,1,0
1958,25,BAL,qb,14,12,3,5,-3,1,3,-0.6,-0.3,0.4,,,,,,,,,-3,1,0
1959,26,NYG,qb,15,5,1,3,3,0,1,1.0,0.6,0.6,,,,,,,,,3,0,0
1960,27,NYG,qb,15,9,5,15,-12,0,15,-0.8,-1.3,1.7,,,,,,,,,-12,0,4
1961,28,MIN,qb,14,8,4,10,39,0,19,3.9,4.9,1.3,,,,,,,,,39,0,1
1962,29,DEN,qb,17,13,1,4,10,1,9,2.5,0.8,0.3,,,,,,,,,10,1,0
Career,,,,,71,31,130,431,6,37,3.3,6.1,1.8,,,,,,,,,431,6,11
4 yrs,,BAL,,,36,20,98,391,5,37,4.0,10.9,2.7,,,,,,,,,391,5,6
2 yrs,,NYG,,,14,6,18,-9,0,15,-0.5,-0.6,1.3,,,,,,,,,-9,0,4
1 yr,,DEN,,,13,1,4,10,1,9,2.5,0.8,0.3,,,,,,,,,10,1,0
1 yr,,MIN,,,8,4,10,39,0,19,3.9,4.9,1.3,,,,,,,,,39,0,1
