
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1947,25,WAS,,,4,0,1,7,0,7,7.0,1.8,0.3,,2,14,7.0,0,7,0.5,3.5,21,0,0
1948,26,WAS,qb,,11,2,11,103,1,33,9.4,9.4,1.0,,,,,,,,,103,1,0
1949,27,WAS,,,12,0,14,75,0,27,5.4,6.3,1.2,,8,105,13.1,2,30,0.7,8.8,180,2,0
Career,,,,,27,2,26,185,1,33,7.1,6.9,1.0,,10,119,11.9,2,30,0.4,4.4,304,3,0
