
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1944,30,CHI,qb,,9,6,24,2,0,12,0.1,0.2,2.7,,,,,,,,,2,0,0,
1945,31,CHI,qb,,3,2,2,3,0,5,1.5,1.0,0.7,,,,,,,,,3,0,1,
Career,,,,,12,8,26,5,0,12,0.2,0.4,2.2,,,,,,,,,5,0,1,
