
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1954,26,CHI,,15,12,,,10,17,58.8,283,3,17.6,1,5.9,69,16.6,17.5,28.3,23.6,118.3,,,,,,0,0,
1955*,27,CHI,P/QB,15,12,12,8-4-0,85,164,51.8,1307,9,5.5,10,6.1,86,8.0,6.3,15.4,108.9,71.4,,,,,,0,0,
1956*,28,CHI,P/QB,15,12,12,9-2-1,96,168,57.1,1667,11,6.5,12,7.1,70,9.9,8.0,17.4,138.9,83.1,,,,,,,,
1957,29,CHI,P/QB,15,12,8,3-5-0,84,185,45.4,1321,6,3.2,16,8.6,74,7.1,3.9,15.7,110.1,44.4,,,,,,0,0,
1958,30,CHI,P/QB,15,12,10,7-3-0,102,218,46.8,1418,10,4.6,17,7.8,79,6.5,3.9,13.9,118.2,51.0,,,,,,0,0,
1959,31,CHI,P/QB,15,12,8,7-3-0,125,247,50.6,1881,13,5.3,10,4.0,88,7.6,6.8,15.0,156.8,76.7,,,,,,0,0,
1960,32,CHI,P/QB,15,12,11,4-6-1,59,149,39.6,1079,7,4.7,11,7.4,91,7.2,4.9,18.3,89.9,50.2,,,,,,,,6
1961,33,CHI,P/qb,15,14,5,3-2-0,46,98,46.9,742,4,4.1,11,11.2,84,7.6,3.3,16.1,53.0,46.8,,,,,,1,2,6
1962,34,PIT,P,15,14,3,2-1-0,43,84,51.2,726,5,6.0,6,7.1,50,8.6,6.6,16.9,51.9,70.8,,,,,,1,2,5
1963,35,PIT,P/QB,15,14,14,7-4-3,168,362,46.4,2982,21,5.8,20,5.5,85,8.2,6.9,17.8,213.0,71.4,,,,,,6,4,13
1964,36,PIT,P/QB,15,14,13,5-8-0,121,272,44.5,1990,12,4.4,19,7.0,54,7.3,5.1,16.4,142.1,55.2,,,,,,1,2,10
1965,37,2TM,,,14,,,10,23,43.5,204,1,4.3,5,21.7,68,8.9,0.0,20.4,14.6,50.2,,,,,,1,1,0
,,BAL,,14,1,,,3,5,60.0,81,1,20.0,0,0.0,68,16.2,20.2,27.0,81.0,143.7,,,,,,1,1,0
,,PIT,,15,13,,,7,18,38.9,123,0,0.0,5,27.8,39,6.8,-5.7,17.6,9.5,23.4,,,,,,,,0
Career,,,,,154,96,55-38-5,949,1987,47.8,15600,102,5.1,138,6.9,91,7.9,5.8,16.4,101.3,62.8,,,,,,10,11,40
8 yrs,,CHI,,,98,66,41-25-2,607,1246,48.7,9698,63,5.1,88,7.1,91,7.8,5.6,16.0,99.0,62.5,,,,,,1,2,12
4 yrs,,PIT,,,55,30,14-13-3,339,736,46.1,5821,38,5.2,50,6.8,85,7.9,5.9,17.2,105.8,62.3,,,,,,8,8,28
1 yr,,BAL,,,1,0,,3,5,60.0,81,1,20.0,0,0.0,68,16.2,20.2,27.0,81.0,143.7,,,,,,1,1,0
