
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1959,24,RAM,,10,2,,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0,0,
1960,25,RAM,qb,10,4,1,0-1-0,9,24,37.5,78,0,0.0,2,8.3,16,3.3,-0.5,8.7,19.5,12.2,,,,,,,,0
1961,26,DAL,,11,2,,,1,2,50.0,16,0,0.0,0,0.0,16,8.0,8.0,16.0,8.0,77.1,,,,,,,,0
1963,28,STL,,11,4,,,4,11,36.4,96,1,9.1,0,0.0,33,8.7,10.5,24.0,24.0,99.1,,,,,,,,0
1964,29,STL,,11,1,,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,,0
1965,30,STL,qb,11,7,3,0-3-0,58,105,55.2,736,1,1.0,9,8.6,53,7.0,3.3,12.7,105.1,44.8,,,,,,,,2
1966,31,HOU,qb,11,6,1,0-1-0,15,32,46.9,168,2,6.3,1,3.1,32,5.3,5.1,11.2,28.0,70.8,,,,,,,,1
Career,,,,,26,5,0-5-0,87,175,49.7,1094,4,2.3,12,6.9,53,6.3,3.6,12.6,42.1,48.6,,,,,,0,0,3
3 yrs,,STL,,,12,3,0-3-0,62,117,53.0,832,2,1.7,9,7.7,53,7.1,4.0,13.4,69.3,49.5,,,,,,,,2
2 yrs,,RAM,,,6,1,0-1-0,9,24,37.5,78,0,0.0,2,8.3,16,3.3,-0.5,8.7,13.0,12.2,,,,,,0,0,0
1 yr,,DAL,,,2,0,,1,2,50.0,16,0,0.0,0,0.0,16,8.0,8.0,16.0,8.0,77.1,,,,,,,,0
1 yr,,HOU,,,6,1,0-1-0,15,32,46.9,168,2,6.3,1,3.1,32,5.3,5.1,11.2,28.0,70.8,,,,,,,,1
