
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1960,22,BUF,qb,11,14,1,38,138,2,16,3.6,9.9,2.7,,5,58,11.6,1,17,0.4,4.1,196,3,2
1961,23,BUF,qb,11,8,2,10,15,0,9,1.5,1.9,1.3,,6,69,11.5,0,19,0.8,8.6,84,0,1
Career,,,,,22,3,48,153,2,16,3.2,7.0,2.2,,11,127,11.5,1,19,0.5,5.8,280,3,3
