
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1953,22,PIT,,17,4,,1,15,0,15,15.0,3.8,0.3,,,,,,,,,15,0,0
1955,24,PIT,,18,7,,6,-1,1,8,-0.2,-0.1,0.9,,,,,,,,,-1,1,3
1956,25,PIT,QB,18,12,11,39,152,2,26,3.9,12.7,3.3,,,,,,,,,152,2,3
1957,26,CRD,,7,7,,4,10,0,7,2.5,1.4,0.6,,,,,,,,,10,0,0
Career,,,,,30,11,50,176,3,26,3.5,5.9,1.7,,,,,,,,,176,3,6
3 yrs,,PIT,,,23,11,46,166,3,26,3.6,7.2,2.0,,,,,,,,,166,3,6
1 yr,,CRD,,,7,0,4,10,0,7,2.5,1.4,0.6,,,,,,,,,10,0,0
