
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1947,22,PHI,,,8,0,7,-15,1,2,-2.1,-1.9,0.9,,,,,,,,,-15,1,3
1948,23,PHI,qb,,10,1,7,4,0,9,0.6,0.4,0.7,,,,,,,,,4,0,0
1949,24,PHI,,,7,0,14,17,1,17,1.2,2.4,2.0,,,,,,,,,17,1,2
1950,25,PHI,,39,8,,21,82,0,18,3.9,10.3,2.6,,,,,,,,,82,0,2
1951,26,PHI,,39,6,,7,9,0,3,1.3,1.5,1.2,,,,,,,,,9,0,0
1953,28,2TM,,,7,3,14,27,1,4,1.9,3.9,2.0,,,,,,,,,27,1,3
,,PIT,qb,13,4,3,13,25,1,4,1.9,6.3,3.3,,,,,,,,,25,1,3
,,NYG,,20,3,,1,2,0,2,2.0,0.7,0.3,,,,,,,,,2,0,0
Career,,,,,46,4,70,124,3,18,1.8,2.7,1.5,,,,,,,,,124,3,10
5 yrs,,PHI,,,39,1,56,97,2,18,1.7,2.5,1.4,,,,,,,,,97,2,7
1 yr,,NYG,,,3,0,1,2,0,2,2.0,0.7,0.3,,,,,,,,,2,0,0
1 yr,,PIT,,,4,3,13,25,1,4,1.9,6.3,3.3,,,,,,,,,25,1,3
