
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1947,27,BCL,P,,13,1,,3,6,50.0,34,0,0.0,0,0.0,0,5.7,5.7,11.3,2.6,67.4,,,,,,0,0
Career,,,,,13,1,,3,6,50.0,34,0,0.0,0,0.0,0,5.7,5.7,11.3,2.6,67.4,,,,,,0,0
