
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1951,21,CHI,,9,8,,5,0,0,3,0.0,0.0,0.6,,,,,,,,,0,0,2
1952,22,CHI,QB,9,11,7,11,33,0,12,3.0,3.0,1.0,,,,,,,,,33,0,3
1955,25,CHI,,9,10,,13,79,0,19,6.1,7.9,1.3,,,,,,,,,79,0,0
Career,,,,,29,7,29,112,0,19,3.9,3.9,1.0,,,,,,,,,112,0,5
