
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1954,26,CHI,,15,12,,9,36,0,18,4.0,3.0,0.8,,,,,,,,,36,0,0
1955*,27,CHI,P/QB,15,12,12,43,203,2,32,4.7,16.9,3.6,,,,,,,,,203,2,4
1956*,28,CHI,P/QB,15,12,12,40,164,1,31,4.1,13.7,3.3,,,,,,,,,164,1,3
1957,29,CHI,P/QB,15,12,8,31,129,1,31,4.2,10.8,2.6,,,,,,,,,129,1,5
1958,30,CHI,P/QB,15,12,10,32,94,3,28,2.9,7.8,2.7,,,,,,,,,94,3,4
1959,31,CHI,P/QB,15,12,8,33,108,1,46,3.3,9.0,2.8,,,,,,,,,108,1,7
1960,32,CHI,P/QB,15,12,11,19,89,2,38,4.7,7.4,1.6,,1,-6,-6.0,0,-6,0.1,-0.5,83,2,2
1961,33,CHI,P/qb,15,14,5,13,18,0,13,1.4,1.3,0.9,,,,,,,,,18,0,1
1962,34,PIT,P,15,14,3,2,-8,0,-2,-4.0,-0.6,0.1,,,,,,,,,-8,0,1
1963,35,PIT,P/QB,15,14,14,15,20,2,7,1.3,1.4,1.1,,,,,,,,,20,2,5
1964,36,PIT,P/QB,15,14,13,26,110,2,22,4.2,7.9,1.9,,,,,,,,,110,2,5
1965,37,2TM,,,14,,2,-3,0,-1,-1.5,-0.2,0.1,,,,,,,,,-3,0,3
,,BAL,,14,1,,1,-2,0,-2,-2.0,-2.0,1.0,,,,,,,,,-2,0,1
,,PIT,,15,13,,1,-1,0,-1,-1.0,-0.1,0.1,,,,,,,,,-1,0,2
Career,,,,,154,96,265,960,14,46,3.6,6.2,1.7,,1,-6,-6.0,0,0,0.0,0.0,954,14,40
8 yrs,,CHI,,,98,66,220,841,10,46,3.8,8.6,2.2,,1,-6,-6.0,0,0,0.0,-0.1,835,10,26
4 yrs,,PIT,,,55,30,44,121,4,22,2.8,2.2,0.8,,,,,,,,,121,4,13
1 yr,,BAL,,,1,0,1,-2,0,-2,-2.0,-2.0,1.0,,,,,,,,,-2,0,1
