
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1933,24,CRD,qb,,9,4,,9,26,34.6,74,1,3.8,2,7.7,0,2.8,0.2,8.2,8.2,24.2,,,,,,0,0
Career,,,,,9,4,,9,26,34.6,74,1,3.8,2,7.7,0,2.8,0.2,8.2,8.2,24.2,,,,,,0,0
