
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1960,23,OAK,QB,15,14,13,19,123,3,31,6.5,8.8,1.4,,,,,,,,,123,3,3
1961,24,OAK,QB,15,14,14,23,36,1,13,1.6,2.6,1.6,,,,,,,,,36,1,8
1963,26,OAK,QB,15,14,9,12,2,0,7,0.2,0.1,0.9,,,,,,,,,2,0,2
1964,27,OAK,QB,15,14,7,11,64,0,27,5.8,4.6,0.8,,,,,,,,,64,0,3
1965,28,OAK,QB,15,14,11,11,32,0,15,2.9,2.3,0.8,,,,,,,,,32,0,0
1966*,29,OAK,QB,15,14,10,5,50,1,27,10.0,3.6,0.4,,,,,,,,,50,1,2
1969,32,2TM,,,7,,1,0,0,0,0.0,0.0,0.1,,,,,,,,,0,0,0
,,KAN,,12,5,,1,0,0,0,0.0,0.0,0.2,,,,,,,,,0,0,0
Career,,,,,106,68,82,307,5,31,3.7,2.9,0.8,,,,,,,,,307,5,18
6 yrs,,OAK,,,84,64,81,307,5,31,3.8,3.7,1.0,,,,,,,,,307,5,18
3 yrs,,BUF,,,17,4,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
1 yr,,KAN,,,5,0,1,0,0,0,0.0,0.0,0.2,,,,,,,,,0,0,0
