
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1956,22,SFO,P,11,12,4,6,10,0,8,1.7,0.8,0.5,,,,,,,,,10,0,1
1957*,23,PIT,QB,10,12,11,41,81,2,35,2.0,6.8,3.4,,,,,,,,,81,2,12
1958,24,2TM,,,11,2,11,80,0,40,7.3,7.3,1.0,,,,,,,,,80,0,1
,,PIT,qb,10,2,2,4,39,0,22,9.8,19.5,2.0,,,,,,,,,39,0,1
,,DET,,14,9,,7,41,0,40,5.9,4.6,0.8,,,,,,,,,41,0,0
1959,25,DET,QB,14,12,5,26,112,0,22,4.3,9.3,2.2,,,,,,,,,112,0,7
1960,26,DET,qb,14,12,2,10,37,1,17,3.7,3.1,0.8,,,,,,,,,37,1,3
1961,27,DET,qb,14,13,6,20,86,0,25,4.3,6.6,1.5,,,,,,,,,86,0,6
1962,28,DET,,14,14,,17,65,1,29,3.8,4.6,1.2,,,,,,,,,65,1,1
1963,29,DET,QB,14,14,10,26,105,1,18,4.0,7.5,1.9,,,,,,,,,105,1,5
1964,30,DET,qb,14,6,3,10,70,0,25,7.0,11.7,1.7,,,,,,,,,70,0,3
1965,31,NYG,QB,11,14,14,17,52,0,14,3.1,3.7,1.2,,,,,,,,,52,0,5
1966,32,NYG,QB,11,7,7,5,12,0,9,2.4,1.7,0.7,,,,,,,,,12,0,3
1967,33,NYG,,11,8,,4,11,1,10,2.8,1.4,0.5,,,,,,,,,11,1,0
1968*+,34,BAL,QB,15,14,14,11,18,1,11,1.6,1.3,0.8,,,,,,,,,18,1,7
1970,36,BAL,qb,15,14,1,2,6,0,5,3.0,0.4,0.1,,,,,,,,,6,0,2
1971,37,BAL,QB,15,14,9,6,13,0,16,2.2,0.9,0.4,,,,,,,,,13,0,3
1972+,38,MIA,QB,15,14,9,17,67,1,31,3.9,4.8,1.2,,,,,,,,,67,1,3
1973,39,MIA,qb,15,14,1,1,9,0,9,9.0,0.6,0.1,,,,,,,,,9,0,0
1974,40,MIA,qb,15,14,1,1,11,0,11,11.0,0.8,0.1,,,,,,,,,11,0,0
1975,41,MIA,qb,15,13,1,4,33,0,16,8.3,2.5,0.3,,,,,,,,,33,0,1
Career,,,,,255,102,235,878,8,40,3.7,3.4,0.9,,,,,,,,,878,8,63
7 yrs,,DET,,,80,26,116,516,3,40,4.4,6.5,1.5,,,,,,,,,516,3,25
5 yrs,,MIA,,,69,12,23,120,1,31,5.2,1.7,0.3,,,,,,,,,120,1,4
4 yrs,,BAL,,,51,26,19,37,1,16,1.9,0.7,0.4,,,,,,,,,37,1,12
3 yrs,,NYG,,,29,21,26,75,1,14,2.9,2.6,0.9,,,,,,,,,75,1,8
2 yrs,,PIT,,,14,13,45,120,2,35,2.7,8.6,3.2,,,,,,,,,120,2,13
1 yr,,SFO,,,12,4,6,10,0,8,1.7,0.8,0.5,,,,,,,,,10,0,1
