
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1931,26,CHI,hb,,11,2,0,0,1,0,,0.0,0.0,,,,,,,,,0,1,0,
1932,27,CHI,QB,,14,14,65,213,2,0,3.3,15.2,4.6,,3,19,6.3,1,0,0.2,1.4,232,3,0,
1933,28,CHI,LH,,13,9,61,145,0,0,2.4,11.2,4.7,,11,118,10.7,1,0,0.8,9.1,263,1,0,
1934,29,CHI,hb,,12,3,61,125,1,0,2.0,10.4,5.1,,1,6,6.0,0,6,0.1,0.5,131,1,0,
1935,30,CHI,hb,,11,4,81,293,4,0,3.6,26.6,7.4,,7,154,22.0,0,0,0.6,14.0,447,4,0,
1936,31,CHI,,,11,0,60,276,0,0,4.6,25.1,5.5,,9,146,16.2,0,0,0.8,13.3,422,0,0,
1937,32,CHI,hb,,9,3,20,53,0,0,2.7,5.9,2.2,,4,21,5.3,0,0,0.4,2.3,74,0,0,
Career,,,,,81,35,348,1105,8,0,3.2,13.6,4.3,,35,464,13.3,2,6,0.4,5.7,1569,10,0,
