
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1957,22,CLE,qb,16,9,3,26,118,0,30,4.5,13.1,2.9,,,,,,,,,118,0,1
1958,23,CLE,QB,16,12,11,37,107,4,22,2.9,8.9,3.1,,,,,,,,,107,4,2
1959,24,CLE,QB,16,12,12,21,20,1,17,1.0,1.7,1.8,,1,20,20.0,0,20,0.1,1.7,40,1,2
1960*,25,CLE,QB,16,12,12,17,-24,2,7,-1.4,-2.0,1.4,,,,,,,,,-24,2,2
1961*,26,CLE,QB,16,14,13,24,-17,1,14,-0.7,-1.2,1.7,,,,,,,,,-17,1,9
1962,27,DET,QB,16,14,14,29,170,1,45,5.9,12.1,2.1,,,,,,,,,170,1,2
1963,28,DET,qb,16,10,4,9,26,0,13,2.9,2.6,0.9,,,,,,,,,26,0,0
1964,29,DET,QB,16,12,11,12,28,1,18,2.3,2.3,1.0,,,,,,,,,28,1,4
1965,30,DET,QB,16,14,11,21,37,3,15,1.8,2.6,1.5,,,,,,,,,37,3,5
1966,31,DET,qb,16,6,6,12,59,0,15,4.9,9.8,2.0,,,,,,,,,59,0,2
1967,32,DET,qb,16,9,6,6,5,0,10,0.8,0.6,0.7,,,,,,,,,5,0,4
1968,33,RAM,,16,4,,2,3,0,2,1.5,0.8,0.5,,,,,,,,,3,0,0
1969,34,NYG,,16,1,,1,-1,0,-1,-1.0,-1.0,1.0,,,,,,,,,-1,0,1
Career,,,,,129,103,217,531,13,45,2.4,4.1,1.7,,1,20,20.0,0,20,0.0,0.2,551,13,34
6 yrs,,DET,,,65,52,89,325,5,45,3.7,5.0,1.4,,,,,,,,,325,5,17
5 yrs,,CLE,,,59,51,125,204,8,30,1.6,3.5,2.1,,1,20,20.0,0,20,0.0,0.3,224,8,16
1 yr,,NYG,,,1,0,1,-1,0,-1,-1.0,-1.0,1.0,,,,,,,,,-1,0,1
1 yr,,RAM,,,4,0,2,3,0,2,1.5,0.8,0.5,,,,,,,,,3,0,0
