
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1940,22,WAS,,,6,0,31,127,0,0,4.1,21.2,5.2,,,,,,,,,127,0,0
1941,23,WAS,wb,,9,5,20,54,0,12,2.7,6.0,2.2,,5,36,7.2,0,11,0.6,4.0,90,0,0
1942*,24,WAS,qb,,7,1,12,56,0,16,4.7,8.0,1.7,,,,,,,,,56,0,0
1943,25,PHI,K/P/QB,,10,9,33,-41,1,12,-1.2,-4.1,3.3,,,,,,,,,-41,1,0
1944,26,PHI,K/P/QB,,10,10,26,-84,2,5,-3.2,-8.4,2.6,,,,,,,,,-84,2,0
1945,27,PHI,K/P/QB,,10,8,29,-11,1,9,-0.4,-1.1,2.9,,,,,,,,,-11,1,3
1946,28,PHI,P/QB,,11,7,23,43,1,12,1.9,3.9,2.1,,,,,,,,,43,1,3
1947,29,DET,K/P/QB,,12,7,13,28,1,10,2.2,2.3,1.1,,,,,,,,,28,1,8
1948,30,BOS,K/P/QB,,9,2,13,72,0,18,5.5,8.0,1.4,,,,,,,,,72,0,4
Career,,,,,84,49,200,244,6,18,1.2,2.9,2.4,,5,36,7.2,0,11,0.1,0.4,280,6,18
4 yrs,,PHI,,,41,34,111,-93,5,12,-0.8,-2.3,2.7,,,,,,,,,-93,5,6
3 yrs,,WAS,,,22,6,63,237,0,16,3.8,10.8,2.9,,5,36,7.2,0,11,0.2,1.6,273,0,0
1 yr,,BOS,,,9,2,13,72,0,18,5.5,8.0,1.4,,,,,,,,,72,0,4
1 yr,,DET,,,12,7,13,28,1,10,2.2,2.3,1.1,,,,,,,,,28,1,8
