
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1950,22,GNB,QB,38,12,12,3-9-0,83,224,37.1,1231,7,3.1,24,10.7,96,5.5,1.3,14.8,102.6,26.7,,,,,,0,0,
1951,23,GNB,QB,38,12,11,3-8-0,106,256,41.4,1540,15,5.9,20,7.8,85,6.0,3.7,14.5,128.3,48.6,,,,,,0,0,
1952,24,GNB,QB,18,12,8,4-4-0,82,157,52.2,1268,13,8.3,8,5.1,81,8.1,7.4,15.5,105.7,85.6,,,,,,0,0,
1953,25,GNB,qb,18,12,7,2-4-1,72,185,38.9,1005,5,2.7,15,8.1,80,5.4,2.3,14.0,83.8,32.4,,,,,,0,0,
1954,26,GNB,QB,18,12,12,4-8-0,180,382,47.1,2311,14,3.7,18,4.7,82,6.0,4.7,12.8,192.6,59.1,,,,,,0,0,
1955,27,GNB,QB,18,12,12,6-6-0,157,342,45.9,1977,17,5.0,19,5.6,60,5.8,4.3,12.6,164.8,57.8,,,,,,0,0,
1956*,28,GNB,QB,18,12,11,4-7-0,146,308,47.4,2203,18,5.8,15,4.9,66,7.2,6.1,15.1,183.6,70.6,,,,,,0,0,
1957,29,DET,QB,18,12,5,4-1-0,76,177,42.9,1070,11,6.2,10,5.6,48,6.0,4.7,14.1,89.2,60.2,,,,,,1,1,
1958,30,DET,QB,18,12,11,4-6-1,118,257,45.9,1678,14,5.4,10,3.9,65,6.5,5.9,14.2,139.8,69.5,,,,,,0,0,
1959,31,DET,qb,18,10,7,1-5-1,62,162,38.3,861,5,3.1,19,11.7,59,5.3,0.7,13.9,86.1,26.8,,,,,,0,0,
1963*+,35,SDG,QB,18,14,14,11-3-0,170,286,59.4,2510,20,7.0,17,5.9,85,8.8,7.5,14.8,179.3,86.7,,,,,,,,13
1964,36,SDG,qb,18,14,6,2-2-1,74,163,45.4,1156,9,5.5,15,9.2,82,7.1,4.1,15.6,82.6,49.5,,,,,,1,1,3
1966,38,DEN,,11,3,,,3,8,37.5,40,0,0.0,1,12.5,20,5.0,-0.6,13.3,13.3,14.6,,,,,,,,0
Career,,,,,149,116,48-63-4,1329,2907,45.7,18850,148,5.1,191,6.6,96,6.5,4.5,14.2,126.5,56.8,,,,,,2,2,16
7 yrs,,GNB,,,84,73,26-46-1,826,1854,44.6,11535,89,4.8,119,6.4,96,6.2,4.3,14.0,137.3,54.4,,,,,,0,0,
3 yrs,,DET,,,34,23,9-12-2,256,596,43.0,3609,30,5.0,39,6.5,65,6.1,4.1,14.1,106.1,52.6,,,,,,1,1,
2 yrs,,SDG,,,28,20,13-5-1,244,449,54.3,3666,29,6.5,32,7.1,85,8.2,6.2,15.0,130.9,73.2,,,,,,1,1,16
1 yr,,DEN,,,3,0,,3,8,37.5,40,0,0.0,1,12.5,20,5.0,-0.6,13.3,13.3,14.6,,,,,,,,0
