
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1935,23,CHI,db,,12,1,7,-16,0,0,-2.3,-1.3,0.6,,1,9,9.0,0,9,0.1,0.8,-7,0,0
1936,24,NYG,,,5,0,8,20,0,0,2.5,4.0,1.6,,,,,,,,,20,0,0
Career,,,,,17,1,15,4,0,0,0.3,0.2,0.9,,1,9,9.0,0,9,0.1,0.5,13,0,0
1 yr,,CHI,,,12,1,7,-16,0,0,-2.3,-1.3,0.6,,1,9,9.0,0,9,0.1,0.8,-7,0,0
1 yr,,NYG,,,5,0,8,20,0,0,2.5,4.0,1.6,,,,,,,,,20,0,0
