
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1939*,22,PHI,QB,,11,8,,99,201,49.3,1324,6,3.0,17,8.5,85,6.6,3.4,13.4,120.4,45.3,,,,,,0,0,
1940,23,PHI,QB,,11,11,,124,277,44.8,1290,5,1.8,17,6.1,47,4.7,2.3,10.4,117.3,39.2,,,,,,0,0,
Career,,,,,22,19,,223,478,46.7,2614,11,2.3,34,7.1,85,5.5,2.7,11.7,118.8,41.8,,,,,,0,0,
