
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1961,24,BUF,qb,17,9,3,13,47,0,19,3.6,5.2,1.4,,,,,,,,,47,0,5
1962,25,BUF,QB,17,14,7,37,77,3,14,2.1,5.5,2.6,,,,,,,,,77,3,6
Career,,,,,30,10,50,124,3,19,2.5,4.1,1.7,,,,,,,,,124,3,11
2 yrs,,BUF,,,23,10,50,124,3,19,2.5,5.4,2.2,,,,,,,,,124,3,11
1 yr,,DET,,,7,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
