
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1960,36,BOS,QB,11,14,12,11,40,2,20,3.6,2.9,0.8,,,,,,,,,40,2,3
1961,37,BOS,qb,11,14,6,8,39,0,11,4.9,2.8,0.6,,,,,,,,,39,0,4
1962,38,NYT,qb,11,7,2,4,11,0,10,2.8,1.6,0.6,,,,,,,,,11,0,0
Career,,,,,35,20,23,90,2,20,3.9,2.6,0.7,,,,,,,,,90,2,7
2 yrs,,BOS,,,28,18,19,79,2,20,4.2,2.8,0.7,,,,,,,,,79,2,7
1 yr,,NYT,,,7,2,4,11,0,10,2.8,1.6,0.6,,,,,,,,,11,0,0
