
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1950,25,NYG,qb,20,8,3,29,133,2,54,4.6,16.6,3.6,,,,,,,,,133,2,3
1951,26,NYG,qb,20,6,1,11,14,0,13,1.3,2.3,1.8,,,,,,,,,14,0,0
Career,,,,,14,4,40,147,2,54,3.7,10.5,2.9,,,,,,,,,147,2,3
