
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1957,22,SFO,qb,12,5,1,2,0,0,0,0.0,0.0,0.4,,,,,,,,,0,0,0
1958,23,SFO,QB,12,12,6,11,-12,1,6,-1.1,-1.0,0.9,,,,,,,,,-12,1,6
1959,24,SFO,qb,12,12,2,5,6,0,6,1.2,0.5,0.4,,,,,,,,,6,0,0
1960,25,SFO,QB,12,11,8,18,171,1,30,9.5,15.5,1.6,,,,,,,,,171,1,1
1961,26,SFO,QB,12,14,14,28,90,2,29,3.2,6.4,2.0,,,,,,,,,90,2,1
1962,27,SFO,QB,12,14,13,37,258,4,21,7.0,18.4,2.6,,,,,,,,,258,4,8
1963,28,SFO,qb,12,3,3,7,63,0,24,9.0,21.0,2.3,,,,,,,,,63,0,1
1964,29,SFO,QB,12,14,12,27,135,2,38,5.0,9.6,1.9,,,,,,,,,135,2,11
1965*,30,SFO,QB,12,13,13,15,60,1,13,4.0,4.6,1.2,,,,,,,,,60,1,4
1966,31,SFO,QB,12,14,13,5,18,3,7,3.6,1.3,0.4,,,,,,,,,18,3,4
1967,32,SFO,QB,12,14,10,20,147,1,15,7.4,10.5,1.4,,,,,,,,,147,1,3
1968,33,SFO,QB,12,14,14,18,71,0,15,3.9,5.1,1.3,,,,,,,,,71,0,4
1969,34,SFO,QB,12,13,10,11,62,0,15,5.6,4.8,0.8,,,,,,,,,62,0,1
1970*+,35,SFO,QB,12,14,14,9,29,2,12,3.2,2.1,0.6,,,,,,,,,29,2,1
1971,36,SFO,QB,12,14,14,14,45,3,12,3.2,3.2,1.0,,,,,,,,,45,3,3
1972,37,SFO,qb,12,6,5,3,8,1,4,2.7,1.3,0.5,,,,,,,,,8,1,0
1973,38,SFO,QB,12,14,6,5,16,1,14,3.2,1.1,0.4,,,,,,,,,16,1,0
Career,,,,,201,158,235,1167,22,38,5.0,5.8,1.2,,,,,,,,,1167,22,48
