
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1942,25,NYG,,,7,0,26,0,0,19,0.0,0.0,3.7,,,,,,,,,0,0,0,
1943,26,NYG,,,5,0,6,-4,0,11,-0.7,-0.8,1.2,,,,,,,,,-4,0,0,
1944,27,BKN,,,2,0,3,8,0,5,2.7,4.0,1.5,,,,,,,,,8,0,0,
Career,,,,,14,0,35,4,0,19,0.1,0.3,2.5,,,,,,,,,4,0,0,
2 yrs,,NYG,,,12,0,32,-4,0,19,-0.1,-0.3,2.7,,,,,,,,,-4,0,0,
1 yr,,BKN,,,2,0,3,8,0,5,2.7,4.0,1.5,,,,,,,,,8,0,0,
