
Year,Age,Tm,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1957 ❍,23,DET,,1,,1,0,0,0,0.0,0.0,1.0,,,,,,,,,0,0,0
Career,,,,3,,1,0,0,0,0.0,0.0,0.3,,,,,,,,,0,0,0
1 yr,,DET,,2,0,1,0,0,0,0.0,0.0,0.5,,,,,,,,,0,0,0
1 yr,,PHI,,1,0,,,,,,,,,,,,,,,,,,
