
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1946,23,CLE,db,,10,2,,11,30,36.7,125,1,3.3,1,3.3,0,4.2,3.3,11.4,12.5,47.2,,,,,,0,0
1947,24,CLE,qb,,13,5,,5,11,45.5,70,1,9.1,1,9.1,0,6.4,4.1,14.0,5.4,58.9,,,,,,,
1948,25,CLE,PR,,14,0,,4,8,50.0,69,1,12.5,0,0.0,0,8.6,11.1,17.3,4.9,119.3,,,,,,,
1949,26,CLE,PR,,11,1,,5,10,50.0,144,2,20.0,2,20.0,0,14.4,9.4,28.8,13.1,95.8,,,,,,,
1950,27,CLE,,62,11,,,1,4,25.0,38,1,25.0,0,0.0,38,9.5,14.5,38.0,3.5,106.2,,,,,,,
1951,28,CLE,S,62,12,,,4,6,66.7,68,1,16.7,1,16.7,20,11.3,7.2,17.0,5.7,104.9,,,,,,,
Career,,,,,71,8,,30,69,43.5,514,7,10.1,5,7.2,38,7.4,6.2,17.1,7.2,73.0,,,,,,0,0
