
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1960,23,STL,qb,3,2,1,1-0-0,10,24,41.7,115,0,0.0,0,0.0,24,4.8,4.8,11.5,57.5,56.8,,,,,,,,1
1961,24,WAS,,15,5,,,16,40,40.0,214,1,2.5,6,15.0,33,5.4,-0.9,13.4,42.8,26.5,,,,,,,,1
1962,25,WAS,,15,1,,,17,37,45.9,284,3,8.1,4,10.8,49,7.7,4.4,16.7,284.0,59.8,,,,,,,,1
1963,26,WAS,,15,5,,,25,58,43.1,378,3,5.2,6,10.3,99,6.5,2.9,15.1,75.6,42.8,,,,,,,,1
1964,27,WAS,,15,3,,,5,18,27.8,83,1,5.6,2,11.1,29,4.6,0.7,16.6,27.7,25.2,,,,,,,,0
1965,28,DET,qb,15,6,3,2-1-0,24,59,40.7,357,2,3.4,6,10.2,61,6.1,2.2,14.9,59.5,32.9,,,,,,0,1,1
1966,29,PIT,qb,15,4,2,0-2-0,35,81,43.2,360,2,2.5,8,9.9,37,4.4,0.5,10.3,90.0,25.3,,,,,,,,1
Career,,,,,26,6,3-3-0,132,317,41.6,1791,12,3.8,32,10.1,99,5.6,1.9,13.6,68.9,33.4,,,,,,0,1,6
4 yrs,,WAS,,,14,0,,63,153,41.2,959,8,5.2,18,11.8,99,6.3,2.0,15.2,68.5,40.4,,,,,,,,3
1 yr,,DET,,,6,3,2-1-0,24,59,40.7,357,2,3.4,6,10.2,61,6.1,2.2,14.9,59.5,32.9,,,,,,0,1,1
1 yr,,PIT,,,4,2,0-2-0,35,81,43.2,360,2,2.5,8,9.9,37,4.4,0.5,10.3,90.0,25.3,,,,,,,,1
1 yr,,STL,,,2,1,1-0-0,10,24,41.7,115,0,0.0,0,0.0,24,4.8,4.8,11.5,57.5,56.8,,,,,,,,1
