
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1937,24,BKN,qb,,6,1,26,81,0,0,3.1,13.5,4.3,,,,,,,,,81,0,0,
1938,25,CHI,,,1,0,1,1,0,1,1.0,1.0,1.0,,,,,,,,,1,0,0,
Career,,,,,7,1,27,82,0,1,3.0,11.7,3.9,,,,,,,,,82,0,0,
1 yr,,BKN,,,6,1,26,81,0,0,3.1,13.5,4.3,,,,,,,,,81,0,0,
1 yr,,CHI,,,1,0,1,1,0,1,1.0,1.0,1.0,,,,,,,,,1,0,0,
