
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1945,30,CRD,qb,,3,1,,4,10,40.0,22,0,0.0,0,0.0,10,2.2,2.2,5.5,7.3,47.9,,,,,,0,0
Career,,,,,3,1,,4,10,40.0,22,0,0.0,0,0.0,10,2.2,2.2,5.5,7.3,47.9,,,,,,0,0
