
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1936,24,NYG,FB,,12,4,,13,42,31.0,258,3,7.1,6,14.3,0,6.1,1.1,19.8,21.5,37.7,,,,,,0,0
1937,25,NYG,FB,,9,8,,5,20,25.0,64,1,5.0,1,5.0,0,3.2,2.0,12.8,7.1,36.2,,,,,,0,0
1938*,26,NYG,FB,,10,3,,19,42,45.2,249,3,7.1,6,14.3,0,5.9,0.9,13.1,24.9,48.7,,,,,,,
1939+,27,NYG,FB,,10,2,,12,26,46.2,198,0,0.0,2,7.7,0,7.6,4.2,16.5,19.8,40.2,,,,,,,
1940,28,NYG,FB,,10,2,,15,31,48.4,159,2,6.5,3,9.7,0,5.1,2.1,10.6,15.9,45.7,,,,,,0,0
1941*,29,NYG,PR/TB,,11,11,,31,66,47.0,475,4,6.1,5,7.6,44,7.2,5.0,15.3,43.2,59.8,,,,,,,
1942,30,NYG,TB,,8,6,,35,69,50.7,555,7,10.1,4,5.8,50,8.0,7.5,15.9,69.4,87.5,,,,,,0,0
1943,31,NYG,TB,,10,1,,37,87,42.5,360,5,5.7,5,5.7,28,4.1,2.7,9.7,36.0,50.0,,,,,,,
Career,,,,,80,37,,167,383,43.6,2318,25,6.5,32,8.4,50,6.1,3.6,13.9,29.0,50.6,,,,,,0,0
