
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1954,23,BAL,P,19,12,1,11,31,0,15,2.8,2.6,0.9,,,,,,,,,31,0,4
1960,29,DTX,P/QB,19,14,12,14,36,1,7,2.6,2.6,1.0,,1,-1,-1.0,0,-1,0.1,-0.1,35,1,6
1961*,30,DTX,P/QB,19,14,12,21,123,1,40,5.9,8.8,1.5,,,,,,,,,123,1,7
1962,31,2TM,,,14,12,25,54,3,19,2.2,3.9,1.8,,,,,,,,,54,3,7
,,OAK,QB,19,13,12,25,54,3,19,2.2,4.2,1.9,,,,,,,,,54,3,0
1963*,32,OAK,qb,19,14,5,23,133,4,18,5.8,9.5,1.6,,,,,,,,,133,4,3
1964,33,OAK,qb,19,14,7,29,167,2,33,5.8,11.9,2.1,,,,,,,,,167,2,6
1966,35,OAK,qb,19,14,4,6,-11,0,5,-1.8,-0.8,0.4,,,,,,,,,-11,0,2
Career,,,,,111,53,129,533,11,40,4.1,4.8,1.2,,1,-1,-1.0,0,0,0.0,0.0,532,11,35
6 yrs,,OAK,,,58,28,83,343,9,33,4.1,5.9,1.4,,,,,,,,,343,9,11
3 yrs,,DTX,,,29,24,35,159,2,40,4.5,5.5,1.2,,1,-1,-1.0,0,0,0.0,0.0,158,2,20
2 yrs,,BAL,,,24,1,11,31,0,15,2.8,1.3,0.5,,,,,,,,,31,0,4
