
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1933,23,GNB,TB,,10,6,,23,46,50.0,325,3,6.5,3,6.5,0,7.1,5.4,14.1,32.5,67.8,,,,,,0,0
1934,24,GNB,tb,,11,5,,16,43,37.2,223,2,4.7,4,9.3,0,5.2,1.9,13.9,20.3,31.4,,,,,,0,0
1935,25,GNB,tb,,11,3,,31,65,47.7,354,2,3.1,5,7.7,0,5.4,2.6,11.4,32.2,42.7,,,,,,0,0
1936,26,GNB,HB,,12,8,,20,52,38.5,280,4,7.7,2,3.8,0,5.4,5.2,14.0,23.3,66.2,,,,,,,
1937,27,GNB,TB,,10,9,,37,73,50.7,580,8,11.0,8,11.0,0,7.9,5.2,15.7,58.0,74.4,,,,,,0,0
1938,28,GNB,TB,,8,5,,31,57,54.4,465,9,15.8,4,7.0,0,8.2,8.2,15.0,58.1,91.7,,,,,,,
Career,,,,,62,36,,158,336,47.0,2227,28,8.3,26,7.7,0,6.6,4.8,14.1,35.9,64.4,,,,,,0,0
