
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1931,23,GNB,bb,,14,3,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0,
1932,24,GNB,bb,,11,5,12,21,0,0,1.8,1.9,1.1,,9,149,16.6,3,34,0.8,13.5,170,3,0,
1933,25,GNB,BB,,13,11,1,4,0,0,4.0,0.3,0.1,,17,215,12.6,0,0,1.3,16.5,219,0,0,
1934,26,GNB,hb,,10,6,62,262,1,0,4.2,26.2,6.2,,6,125,20.8,3,37,0.6,12.5,387,4,0,
1935,27,GNB,bb,,3,1,7,21,0,0,3.0,7.0,2.3,,,,,,,,,21,0,0,
Career,,,,,51,26,82,308,1,0,3.8,6.0,1.6,,32,489,15.3,6,37,0.6,9.6,797,7,0,
