
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1933,25,GNB,BB,,13,11,,1,3,33.3,44,0,0.0,0,0.0,44,14.7,14.7,44.0,3.4,81.9,,,,,,0,0
1934,26,GNB,hb,,10,6,,5,10,50.0,34,0,0.0,0,0.0,34,3.4,3.4,6.8,3.4,57.9,,,,,,0,0
Career,,,,,51,26,,6,13,46.2,78,2,15.4,0,0.0,44,6.0,9.1,13.0,1.5,105.1,,,,,,0,0
