
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1948,22,WAS,,,1,0,,2,5,40.0,69,0,0.0,0,0.0,45,13.8,13.8,34.5,69.0,87.5,,,,,,0,0,
1949,23,WAS,qb,,12,4,,49,132,37.1,869,4,3.0,15,11.4,61,6.6,2.1,17.7,72.4,31.0,,,,,,0,0,
1950*,24,WAS,qb,52,10,5,0-5-0,63,141,44.7,948,8,5.7,12,8.5,74,6.7,4.0,15.0,94.8,50.8,,,,,,0,0,
1951,25,WAS,qb,52,10,3,0-3-0,31,68,45.6,391,1,1.5,6,8.8,47,5.8,2.1,12.6,39.1,32.2,,,,,,0,0,
1952*,26,WAS,LH,12,12,,,31,58,53.4,555,4,6.9,4,6.9,61,9.6,7.8,17.9,46.3,80.7,,,,,,0,0,
1954,28,WAS,,12,12,,,2,7,28.6,18,0,0.0,1,14.3,10,2.6,-3.9,9.0,1.5,0.0,,,,,,0,0,
1955,29,DET,qb,12,8,2,0-2-0,58,122,47.5,633,2,1.6,4,3.3,34,5.2,4.0,10.9,79.1,55.1,,,,,,0,0,
1956,30,DET,,12,11,,,27,46,58.7,303,4,8.7,3,6.5,41,6.6,5.4,11.2,27.5,80.3,,,,,,0,0,
Career,,,,,76,14,0-10-0,263,579,45.4,3786,23,4.0,45,7.8,74,6.5,3.8,14.4,49.8,48.0,,,,,,0,0,
6 yrs,,WAS,,,57,12,0-8-0,178,411,43.3,2850,17,4.1,38,9.2,74,6.9,3.6,16.0,50.0,42.3,,,,,,0,0,
2 yrs,,DET,,,19,2,0-2-0,85,168,50.6,936,6,3.6,7,4.2,41,5.6,4.4,11.0,49.3,62.0,,,,,,0,0,
