
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1953,23,WAS,qb,18,12,4,22,98,0,40,4.5,8.2,1.8,,,,,,,,,98,0,7
1954,24,WAS,QB,18,10,6,17,36,0,6,2.1,3.6,1.7,,,,,,,,,36,0,4
1956,26,PIT,qb,12,7,1,4,19,0,21,4.8,2.7,0.6,,,,,,,,,19,0,1
Career,,,,,29,11,43,153,0,40,3.6,5.3,1.5,,,,,,,,,153,0,12
2 yrs,,WAS,,,22,10,39,134,0,40,3.4,6.1,1.8,,,,,,,,,134,0,11
1 yr,,PIT,,,7,1,4,19,0,21,4.8,2.7,0.6,,,,,,,,,19,0,1
