
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1950,22,GNB,QB,38,12,12,27,158,0,29,5.9,13.2,2.3,,,,,,,,,158,0,9
1951,23,GNB,QB,38,12,11,76,523,3,55,6.9,43.6,6.3,,0,11,,0,11,0.0,0.9,534,3,4
1952,24,GNB,QB,18,12,8,58,313,2,30,5.4,26.1,4.8,,1,28,28.0,1,28,0.1,2.3,341,3,10
1953,25,GNB,qb,18,12,7,33,180,0,21,5.5,15.0,2.8,,,,,,,,,180,0,2
1954,26,GNB,QB,18,12,12,67,301,8,30,4.5,25.1,5.6,,,,,,,,,301,8,4
1955,27,GNB,QB,18,12,12,74,332,5,49,4.5,27.7,6.2,,,,,,,,,332,5,10
1956*,28,GNB,QB,18,12,11,84,398,11,39,4.7,33.2,7.0,,,,,,,,,398,11,5
1957,29,DET,QB,18,12,5,70,366,1,23,5.2,30.5,5.8,,,,,,,,,366,1,6
1958,30,DET,QB,18,12,11,77,351,3,27,4.6,29.3,6.4,,,,,,,,,351,3,7
1959,31,DET,qb,18,10,7,35,156,2,21,4.5,15.6,3.5,,,,,,,,,156,2,2
1963*+,35,SDG,QB,18,14,14,24,62,2,15,2.6,4.4,1.7,,,,,,,,,62,2,2
1964,36,SDG,qb,18,14,6,10,-12,0,9,-1.2,-0.9,0.7,,1,-11,-11.0,0,-11,0.1,-0.8,-23,0,6
Career,,,,,149,116,635,3128,37,55,4.9,21.0,4.3,,2,28,14.0,1,28,0.0,0.2,3156,38,67
7 yrs,,GNB,,,84,73,419,2205,29,55,5.3,26.3,5.0,,1,39,39.0,1,28,0.0,0.5,2244,30,44
3 yrs,,DET,,,34,23,182,873,6,27,4.8,25.7,5.4,,,,,,,,,873,6,15
2 yrs,,SDG,,,28,20,34,50,2,15,1.5,1.8,1.2,,1,-11,-11.0,0,0,0.0,-0.4,39,2,8
1 yr,,DEN,,,3,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
