
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1957,23,PHI,qb,9,10,4,2-3-0,33,70,47.1,470,5,7.1,8,11.4,61,6.7,3.0,14.2,47.0,53.6,,,,,,0,0,
1958,24,PHI,,9,12,,,12,22,54.5,259,0,0.0,1,4.5,61,11.8,9.7,21.6,21.6,77.7,,,,,,0,0,
1959,25,PHI,,9,12,,,3,5,60.0,27,1,20.0,0,0.0,19,5.4,9.4,9.0,2.3,114.2,,,,,,0,0,
1960,26,PHI,,9,12,,,24,44,54.5,486,5,11.4,1,2.3,71,11.0,12.3,20.3,40.5,122.0,,,,,,,,3
1961*+,27,PHI,QB,9,14,14,10-4-0,235,416,56.5,3723,32,7.7,24,5.8,69,8.9,7.9,15.8,265.9,88.1,,,,,,3,3,16
1962,28,PHI,QB,9,14,13,3-9-1,196,366,53.6,3261,22,6.0,26,7.1,84,8.9,6.9,16.6,232.9,74.3,,,,,,,,12
1963,29,PHI,QB,9,9,8,2-6-1,99,184,53.8,1413,11,6.0,13,7.1,75,7.7,5.7,14.3,157.0,69.4,,,,,,1,0,5
1964*,30,WAS,QB,9,14,14,6-8-0,207,385,53.8,2934,24,6.2,13,3.4,80,7.6,7.3,14.2,209.6,85.4,,,,,,0,1,12
1965,31,WAS,QB,9,13,13,6-7-0,190,356,53.4,2367,15,4.2,16,4.5,55,6.6,5.5,12.5,182.1,69.6,,,,,,1,1,8
1966*,32,WAS,QB,9,14,14,7-7-0,254,436,58.3,3209,28,6.4,19,4.4,86,7.4,6.7,12.6,229.2,84.5,,,,,,2,3,14
1967*,33,WAS,QB,9,14,14,5-6-3,288,508,56.7,3747,31,6.1,16,3.1,86,7.4,7.2,13.0,267.6,87.3,,,,,,4,2,16
1968,34,WAS,QB,9,12,12,4-8-0,167,292,57.2,1980,17,5.8,11,3.8,99,6.8,6.3,11.9,165.0,81.7,,,,,,,,8
1969*+,35,WAS,QB,9,14,14,7-5-2,274,442,62.0,3102,22,5.0,15,3.4,88,7.0,6.5,11.3,221.6,85.4,40,322,5.77,5.28,8.3,2,0,15
1970,36,WAS,QB,9,14,14,6-8-0,202,337,59.9,2354,23,6.8,10,3.0,66,7.0,7.0,11.7,168.1,91.5,25,214,5.91,5.94,6.9,,,15
1971,37,WAS,qb,9,5,1,1-0-0,16,28,57.1,170,0,0.0,2,7.1,30,6.1,2.9,10.6,34.0,45.2,1,8,5.59,2.48,3.4,,,1
1972,38,WAS,qb,9,7,4,4-0-0,39,59,66.1,633,2,3.4,4,6.8,36,10.7,8.4,16.2,90.4,84.9,2,21,10.03,7.74,3.3,1,1,3
1973,39,WAS,qb,9,14,4,3-1-0,87,145,60.0,904,6,4.1,5,3.4,36,6.2,5.5,10.4,64.6,77.5,16,114,4.91,4.25,9.9,2,1,4
1974,40,WAS,qb,9,14,4,3-1-0,107,167,64.1,1185,11,6.6,5,3.0,44,7.1,7.1,11.1,84.6,94.5,10,69,6.31,6.28,5.6,2,2,7
Career,,,,,218,147,69-73-7,2433,4262,57.1,32224,255,6.0,189,4.4,99,7.6,6.8,13.2,147.8,82.6,94,748,7.23,6.44,2.2,18,14,139
11 yrs,,WAS,,,135,108,52-51-5,1831,3155,58.0,22585,179,5.7,116,3.7,99,7.2,6.6,12.3,167.3,83.9,94,748,5.97,5.53,7.4,14,11,103
7 yrs,,PHI,,,83,39,17-22-2,602,1107,54.4,9639,76,6.9,73,6.6,84,8.7,7.1,16.0,116.1,79.1,,,,,,4,3,36
