
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1951,23,WAS,LS,26,12,,,0,3,0.0,0,0,0.0,2,66.7,0,0.0,-30.0,,0.0,0.0,,,,,,0,0
Career,,,,,12,,,0,3,0.0,0,0,0.0,2,66.7,0,0.0,-30.0,,0.0,0.0,,,,,,0,0
