
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1957,22,PIT,,7,4,,,8,18,44.4,88,0,0.0,2,11.1,21,4.9,-0.1,11.0,22.0,19.9,,,,,,0,0,
1960+,25,LAC,QB,15,14,12,9-3-0,211,406,52.0,3018,20,4.9,25,6.2,69,7.4,5.6,14.3,215.6,67.1,,,,,,4,4,15
1961*,26,SDG,QB,15,14,14,12-2-0,165,364,45.3,2686,15,4.1,22,6.0,91,7.4,5.5,16.3,191.9,59.2,,,,,,1,1,12
1962*,27,2TM,,,6,5,3-2-0,64,139,46.0,928,5,3.6,6,4.3,67,6.7,5.5,14.5,154.7,62.3,,,,,,,,4
,,SDG,qb,15,2,2,1-1-0,13,45,28.9,292,2,4.4,2,4.4,67,6.5,5.4,22.5,146.0,50.4,,,,,,,,1
,,BUF,qb,15,4,3,2-1-0,51,94,54.3,636,3,3.2,4,4.3,31,6.8,5.5,12.5,159.0,68.4,,,,,,,,3
1963*,28,BUF,QB,15,14,12,5-6-1,193,384,50.3,2910,13,3.4,20,5.2,89,7.6,5.9,15.1,207.9,65.1,,,,,,1,2,12
1964*,29,BUF,QB,15,14,13,11-2-0,119,269,44.2,2285,13,4.8,26,9.7,94,8.5,5.1,19.2,163.2,50.9,,,,,,,,9
1965*+,30,BUF,QB,15,14,13,9-3-1,179,391,45.8,2368,10,2.6,18,4.6,78,6.1,4.5,13.2,169.1,54.8,,,,,,2,1,9
1966*,31,BUF,QB,15,14,14,9-4-1,166,389,42.7,2451,11,2.8,16,4.1,55,6.3,5.0,14.8,175.1,56.2,,,,,,1,1,10
1967,32,BUF,QB,15,14,11,3-8-0,161,369,43.6,2503,14,3.8,26,7.0,63,6.8,4.4,15.5,178.8,50.0,,,,,,2,2,7
1969*,34,BUF,QB,15,14,11,4-7-0,170,344,49.4,1981,13,3.8,22,6.4,55,5.8,3.6,11.7,141.5,53.2,21,187,4.92,2.92,5.8,0,0,5
Career,,,,,122,105,65-37-3,1436,3073,46.7,21218,114,3.7,183,6.0,94,6.9,5.0,14.8,173.9,57.3,21,187,6.80,4.87,0.7,11,11,83
7 yrs,,BUF,,,88,77,43-31-3,1039,2240,46.4,15134,77,3.4,132,5.9,94,6.8,4.8,14.6,172.0,55.8,21,187,4.92,2.92,5.8,6,6,55
3 yrs,,SDG-LAC,,,30,28,22-6-0,389,815,47.7,5996,37,4.5,49,6.0,91,7.4,5.6,15.4,199.9,62.6,,,,,,5,5,28
1 yr,,PIT,,,4,0,,8,18,44.4,88,0,0.0,2,11.1,21,4.9,-0.1,11.0,22.0,19.9,,,,,,0,0,
