
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1960,23,HOU,P,12,14,,,4,7,57.1,43,0,0.0,0,0.0,30,6.1,6.1,10.8,3.1,75.3,,,,,,,
Career,,,,,22,,,4,7,57.1,43,0,0.0,0,0.0,30,6.1,6.1,10.8,2.0,75.3,,,,,,,
