
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1957,23,PHI,qb,9,10,4,10,-3,2,8,-0.3,-0.3,1.0,,,,,,,,,-3,2,0
1958,24,PHI,,9,12,,1,1,0,1,1.0,0.1,0.1,,,,,,,,,1,0,1
1960,26,PHI,,9,12,,4,5,0,9,1.3,0.4,0.3,,,,,,,,,5,0,3
1961*+,27,PHI,QB,9,14,14,20,27,0,14,1.4,1.9,1.4,,,,,,,,,27,0,6
1962,28,PHI,QB,9,14,13,17,44,2,30,2.6,3.1,1.2,,,,,,,,,44,2,4
1963,29,PHI,QB,9,9,8,13,38,1,13,2.9,4.2,1.4,,,,,,,,,38,1,1
1964*,30,WAS,QB,9,14,14,27,57,3,24,2.1,4.1,1.9,,,,,,,,,57,3,3
1965,31,WAS,QB,9,13,13,17,23,2,27,1.4,1.8,1.3,,,,,,,,,23,2,6
1966*,32,WAS,QB,9,14,14,12,14,0,16,1.2,1.0,0.9,,,,,,,,,14,0,5
1967*,33,WAS,QB,9,14,14,15,46,2,21,3.1,3.3,1.1,,,,,,,,,46,2,5
1968,34,WAS,QB,9,12,12,8,21,1,11,2.6,1.8,0.7,,,,,,,,,21,1,2
1969*+,35,WAS,QB,9,14,14,17,156,1,33,9.2,11.1,1.2,,,,,,,,,156,1,2
1970,36,WAS,QB,9,14,14,6,39,1,14,6.5,2.8,0.4,,,,,,,,,39,1,4
1971,37,WAS,qb,9,5,1,3,29,0,11,9.7,5.8,0.6,,,,,,,,,29,0,1
1972,38,WAS,qb,9,7,4,4,-5,0,0,-1.3,-0.7,0.6,,,,,,,,,-5,0,4
1973,39,WAS,qb,9,14,4,3,7,0,7,2.3,0.5,0.2,,1,-3,-3.0,0,-3,0.1,-0.2,4,0,1
1974,40,WAS,qb,9,14,4,4,-6,0,0,-1.5,-0.4,0.3,,,,,,,,,-6,0,2
Career,,,,,218,147,181,493,15,33,2.7,2.3,0.8,,1,-3,-3.0,0,0,0.0,0.0,490,15,50
11 yrs,,WAS,,,135,108,116,381,10,33,3.3,2.8,0.9,,1,-3,-3.0,0,0,0.0,0.0,378,10,35
7 yrs,,PHI,,,83,39,65,112,5,30,1.7,1.3,0.8,,,,,,,,,112,5,15
