
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1948,25,SFO,,,10,0,3,2,0,0,0.7,0.2,0.3,,,,,,,,,2,0,0
1949,26,SFO,qb,,9,1,2,2,1,0,1.0,0.2,0.2,,,,,,,,,2,1,0
1951,28,NYY,,53,1,,1,-8,0,-8,-8.0,-8.0,1.0,,,,,,,,,-8,0,1
Career,,,,,24,1,6,-4,1,0,-0.7,-0.2,0.3,,,,,,,,,-4,1,1
3 yrs,,SFO,,,23,1,5,4,1,0,0.8,0.2,0.2,,,,,,,,,4,1,0
1 yr,,NYY,,,1,0,1,-8,0,-8,-8.0,-8.0,1.0,,,,,,,,,-8,0,1
