
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1956,22,GNB,qb,15,9,1,5,35,0,14,7.0,3.9,0.6,,,,,,,,,35,0,0
1957,23,GNB,QB,15,12,11,31,98,3,16,3.2,8.2,2.6,,,,,,,,,98,3,4
1958,24,GNB,QB,15,12,7,25,113,1,20,4.5,9.4,2.1,,,,,,,,,113,1,2
1959,25,GNB,qb,15,12,5,16,83,0,39,5.2,6.9,1.3,,,,,,,,,83,0,2
1960*,26,GNB,QB,15,12,8,7,12,0,13,1.7,1.0,0.6,,,,,,,,,12,0,3
1961*,27,GNB,QB,15,14,14,12,56,1,21,4.7,4.0,0.9,,,,,,,,,56,1,8
1962*,28,GNB,QB,15,14,14,21,72,1,18,3.4,5.1,1.5,,,,,,,,,72,1,8
1963,29,GNB,QB,15,13,10,13,116,0,20,8.9,8.9,1.0,,,,,,,,,116,0,5
1964,30,GNB,QB,15,14,14,24,165,3,28,6.9,11.8,1.7,,,,,,,,,165,3,7
1965,31,GNB,QB,15,14,14,18,169,1,38,9.4,12.1,1.3,,,,,,,,,169,1,2
1966*+,32,GNB,QB,15,14,13,21,104,2,21,5.0,7.4,1.5,,,,,,,,,104,2,7
1967,33,GNB,QB,15,14,12,21,90,0,23,4.3,6.4,1.5,,,,,,,,,90,0,3
1968,34,GNB,QB,15,12,9,11,62,1,15,5.6,5.2,0.9,,,,,,,,,62,1,2
1969,35,GNB,QB,15,12,9,7,60,0,18,8.6,5.0,0.6,,,,,,,,,60,0,4
1970,36,GNB,QB,15,14,13,12,62,1,15,5.2,4.4,0.9,,,,,,,,,62,1,6
1971,37,GNB,qb,15,4,3,3,11,1,9,3.7,2.8,0.8,,,,,,,,,11,1,1
Career,,,,,196,157,247,1308,15,39,5.3,6.7,1.3,,,,,,,,,1308,15,64
