
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1937,25,BKN,TB,,4,4,34,26,1,0,0.8,6.5,8.5,,,,,,,,,26,1,0
1938+,26,BKN,TB,,11,11,93,253,2,0,2.7,23.0,8.5,,1,19,19.0,1,19,0.1,1.7,272,3,0
1939,27,BKN,P/TB,,11,10,104,271,5,0,2.6,24.6,9.5,,1,5,5.0,0,5,0.1,0.5,276,5,0
1940+,28,BKN,P/TB,,11,10,89,306,2,0,3.4,27.8,8.1,,3,139,46.3,2,71,0.3,12.6,445,4,0
1941,29,BKN,P/PR/TB,,11,9,85,301,0,60,3.5,27.4,7.7,,3,66,22.0,0,36,0.3,6.0,367,0,0
1945,33,BOS,tb,,8,1,18,-49,0,7,-2.7,-6.1,2.3,,,,,,,,,-49,0,2
1946,34,NYY,tb,,12,4,75,184,3,0,2.5,15.3,6.3,,,,,,,,,184,3,0
Career,,,,,68,49,498,1292,13,60,2.6,19.0,7.3,,8,229,28.6,3,71,0.1,3.4,1521,16,2
5 yrs,,BKN,,,48,44,405,1157,10,60,2.9,24.1,8.4,,8,229,28.6,3,71,0.2,4.8,1386,13,0
1 yr,,BOS,,,8,1,18,-49,0,7,-2.7,-6.1,2.3,,,,,,,,,-49,0,2
1 yr,,NYY,,,12,4,75,184,3,0,2.5,15.3,6.3,,,,,,,,,184,3,0
