
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1940,22,WAS,,,6,0,,4,12,33.3,53,0,0.0,3,25.0,19,4.4,-6.8,13.3,8.8,8.7,,,,,,,,
1941,23,WAS,wb,,9,5,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,0,0,
1942*,24,WAS,qb,,7,1,,2,10,20.0,13,0,0.0,2,20.0,9,1.3,-7.7,6.5,1.9,0.0,,,,,,0,0,
1943,25,PHI,K/P/QB,,10,9,,43,124,34.7,846,9,7.3,17,13.7,60,6.8,2.1,19.7,84.6,44.0,,,,,,0,0,
1944,26,PHI,K/P/QB,,10,10,,39,105,37.1,785,8,7.6,10,9.5,75,7.5,4.7,20.1,78.5,50.0,,,,,,0,0,
1945,27,PHI,K/P/QB,,10,8,,67,127,52.8,991,9,7.1,8,6.3,74,7.8,6.4,14.8,99.1,75.9,,,,,,0,0,
1946,28,PHI,P/QB,,11,7,,41,79,51.9,597,4,5.1,8,10.1,59,7.6,4.0,14.6,54.3,54.1,,,,,,0,0,
1947,29,DET,K/P/QB,,12,7,,57,138,41.3,867,7,5.1,9,6.5,53,6.3,4.4,15.2,72.3,52.4,,,,,,0,0,
1948,30,BOS,K/P/QB,,9,2,,46,107,43.0,649,7,6.5,13,12.1,69,6.1,1.9,14.1,72.1,45.4,,,,,,0,0,
Career,,,,,84,49,,299,703,42.5,4801,44,6.3,70,10.0,75,6.8,3.6,16.1,57.2,47.3,,,,,,0,0,
4 yrs,,PHI,,,41,34,,190,435,43.7,3219,30,6.9,43,9.9,75,7.4,4.3,16.9,78.5,52.7,,,,,,0,0,
3 yrs,,WAS,,,22,6,,6,23,26.1,66,0,0.0,5,21.7,19,2.9,-6.9,11.0,3.0,0.0,,,,,,0,0,
1 yr,,BOS,,,9,2,,46,107,43.0,649,7,6.5,13,12.1,69,6.1,1.9,14.1,72.1,45.4,,,,,,0,0,
1 yr,,DET,,,12,7,,57,138,41.3,867,7,5.1,9,6.5,53,6.3,4.4,15.2,72.3,52.4,,,,,,0,0,
