
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1941,23,RAM,bb,,7,2,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,,,,,,0,0
1948,30,PIT,BB,,12,11,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,0,0
1949,31,PIT,BB,,12,11,,1,1,100.0,17,1,100.0,0,0.0,17,17.0,37.0,17.0,1.4,158.3,,,,,,0,0
1950,32,PIT,BB,33,10,,,1,3,33.3,3,0,0.0,0,0.0,3,1.0,1.0,3.0,0.3,42.4,,,,,,0,0
Career,,,,,63,43,,2,6,33.3,20,1,16.7,1,16.7,17,3.3,-0.8,10.0,0.3,43.7,,,,,,0,0
5 yrs,,PIT,,,56,41,,2,5,40.0,20,1,20.0,0,0.0,17,4.0,8.0,10.0,0.4,91.7,,,,,,0,0
1 yr,,RAM,,,7,2,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,,,,,,0,0
