
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1946+,26,BDA,KR/P/PR/TB,,12,11,95,208,4,58,2.2,17.3,7.9,,1,-5,-5.0,0,-5,0.1,-0.4,203,4,0
1947,27,2TM,,,11,3,42,131,1,0,3.1,11.9,3.8,,2,21,10.5,0,0,0.2,1.9,152,1,0
,,BDA,,,2,0,14,41,1,0,2.9,20.5,7.0,,,,,,,,,41,1,0
,,LAD,P/PR/qb,,9,3,28,90,0,0,3.2,10.0,3.1,,2,21,10.5,0,0,0.2,2.3,111,0,0
1948,28,LAD,P/TB,,14,10,91,539,4,50,5.9,38.5,6.5,,2,11,5.5,0,0,0.1,0.8,550,4,0
1949,29,LAD,P/TB,,12,6,34,161,3,0,4.7,13.4,2.8,,,,,,,,,161,3,0
Career,,,,,49,30,262,1039,12,58,4.0,21.2,5.3,,5,27,5.4,0,0,0.1,0.6,1066,12,0
3 yrs,,LAD,,,35,19,153,790,7,50,5.2,22.6,4.4,,4,32,8.0,0,0,0.1,0.9,822,7,0
2 yrs,,BDA,,,14,11,109,249,5,58,2.3,17.8,7.8,,1,-5,-5.0,0,0,0.1,-0.4,244,5,0
