
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1939*,22,PHI,QB,,11,8,108,-14,1,0,-0.1,-1.3,9.8,,,,,,,,,-14,1,0
1940,23,PHI,QB,,11,11,100,-180,1,0,-1.8,-16.4,9.1,,,,,,,,,-180,1,0
Career,,,,,22,19,208,-194,2,0,-0.9,-8.8,9.5,,,,,,,,,-194,2,0
