
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1932,27,CHI,QB,,14,14,,25,64,39.1,346,3,4.7,4,6.3,0,5.4,3.5,13.8,24.7,46.7,,,,,,0,0
1933,28,CHI,LH,,13,9,,19,50,38.0,433,4,8.0,4,8.0,0,8.7,6.7,22.8,33.3,63.2,,,,,,,
1934,29,CHI,hb,,12,3,,13,39,33.3,249,3,7.7,4,10.3,0,6.4,3.3,19.2,20.8,42.5,,,,,,,
1935,30,CHI,hb,,11,4,,13,36,36.1,266,3,8.3,3,8.3,0,7.4,5.3,20.5,24.2,56.0,,,,,,0,0
1936,31,CHI,,,11,0,,15,31,48.4,188,4,12.9,4,12.9,0,6.1,2.8,12.5,17.1,67.7,,,,,,0,0
1937,32,CHI,hb,,9,3,,1,6,16.7,4,0,0.0,0,0.0,4,0.7,0.7,4.0,0.4,39.6,,,,,,,
Career,,,,,81,35,,86,226,38.1,1486,18,8.0,19,8.4,4,6.6,4.4,17.3,18.3,52.7,,,,,,0,0
