
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1954,25,WAS,qb,16,11,6,34,117,3,14,3.4,10.6,3.1,,,,,,,,,117,3,4
1955,26,WAS,qb,16,8,1,8,49,0,19,6.1,6.1,1.0,,,,,,,,,49,0,1
1956*,27,WAS,QB,16,12,7,30,105,0,30,3.5,8.8,2.5,,,,,,,,,105,0,4
1957,28,PHI,,10,6,,17,52,2,14,3.1,8.7,2.8,,,,,,,,,52,2,1
1960,31,NYT,QB,12,14,13,90,453,7,15,5.0,32.4,6.4,,,,,,,,,453,7,9
1961*,32,NYT,QB,12,14,14,54,317,4,40,5.9,22.6,3.9,,,,,,,,,317,4,10
1962,33,BUF,qb,12,4,4,15,57,0,15,3.8,14.3,3.8,,,,,,,,,57,0,2
Career,,,,,69,45,248,1150,16,40,4.6,16.7,3.6,,,,,,,,,1150,16,31
3 yrs,,WAS,,,31,14,72,271,3,30,3.8,8.7,2.3,,,,,,,,,271,3,9
2 yrs,,NYT,,,28,27,144,770,11,40,5.3,27.5,5.1,,,,,,,,,770,11,19
1 yr,,BUF,,,4,4,15,57,0,15,3.8,14.3,3.8,,,,,,,,,57,0,2
1 yr,,PHI,,,6,0,17,52,2,14,3.1,8.7,2.8,,,,,,,,,52,2,1
