
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1943,24,NYG,tb,,10,6,19,26,0,25,1.4,2.6,1.9,,,,,,,,,26,0,0
1946,27,NYG,,,4,0,8,-25,0,3,-3.1,-6.3,2.0,,,,,,,,,-25,0,1
Career,,,,,14,6,27,1,0,25,0.0,0.1,1.9,,,,,,,,,1,0,1
