
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1954,25,WAS,qb,16,11,6,2-3-0,70,138,50.7,997,8,5.8,17,12.3,80,7.2,2.8,14.2,90.6,54.2,,,,,,0,0,
1955,26,WAS,qb,16,8,1,1-0-0,2,12,16.7,37,0,0.0,1,8.3,19,3.1,-0.7,18.5,4.6,5.2,,,,,,0,0,
1956*,27,WAS,QB,16,12,7,3-4-0,55,112,49.1,730,8,7.1,8,7.1,51,6.5,4.7,13.3,60.8,64.2,,,,,,0,0,
1957,28,PHI,,10,6,,,17,36,47.2,212,1,2.8,4,11.1,49,5.9,1.4,12.5,35.3,35.6,,,,,,0,0,
1960,31,NYT,QB,12,14,13,6-7-0,201,396,50.8,2748,26,6.6,26,6.6,56,6.9,5.3,13.7,196.3,67.8,,,,,,3,2,15
1961*,32,NYT,QB,12,14,14,7-7-0,197,438,45.0,2651,19,4.3,30,6.8,68,6.1,3.8,13.5,189.4,50.7,,,,,,1,2,10
1962,33,BUF,qb,12,4,4,0-4-0,30,75,40.0,333,2,2.7,7,9.3,34,4.4,0.8,11.1,83.3,23.9,,,,,,,,2
Career,,,,,69,45,19-25-0,572,1207,47.4,7708,64,5.3,93,7.7,80,6.4,4.0,13.5,111.7,53.8,,,,,,4,4,27
3 yrs,,WAS,,,31,14,6-7-0,127,262,48.5,1764,16,6.1,26,9.9,80,6.7,3.5,13.9,56.9,51.3,,,,,,0,0,
2 yrs,,NYT,,,28,27,13-14-0,398,834,47.7,5399,45,5.4,56,6.7,68,6.5,4.5,13.6,192.8,58.8,,,,,,4,4,25
1 yr,,BUF,,,4,4,0-4-0,30,75,40.0,333,2,2.7,7,9.3,34,4.4,0.8,11.1,83.3,23.9,,,,,,,,2
1 yr,,PHI,,,6,0,,17,36,47.2,212,1,2.8,4,11.1,49,5.9,1.4,12.5,35.3,35.6,,,,,,0,0,
