
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1937+,23,WAS,TB,,11,5,,81,171,47.4,1127,8,4.7,14,8.2,59,6.6,3.8,13.9,102.5,50.5,,,,,,,,
1938*,24,WAS,TB,,9,3,,63,128,49.2,853,5,3.9,11,8.6,60,6.7,3.6,13.5,94.8,48.1,,,,,,0,0,
1939*,25,WAS,P/tb,,9,1,,53,96,55.2,518,6,6.3,9,9.4,44,5.4,2.4,9.8,57.6,52.3,,,,,,0,0,
1940*+,26,WAS,P/TB,,11,11,,111,177,62.7,1367,12,6.8,10,5.6,81,7.7,6.5,12.3,124.3,85.6,,,,,,,,
1941*,27,WAS,P/TB,,11,1,,106,193,54.9,1236,10,5.2,19,9.8,55,6.4,3.0,11.7,112.4,52.2,,,,,,0,0,
1942*+,28,WAS,P/TB,,11,8,,132,225,58.7,1524,16,7.1,11,4.9,53,6.8,6.0,11.5,138.5,82.5,,,,,,,,
1943+,29,WAS,P/TB,,10,7,,133,239,55.6,1754,23,9.6,19,7.9,72,7.3,5.7,13.2,175.4,78.0,,,,,,,,
1944,30,WAS,P/qb,,8,4,,82,146,56.2,849,4,2.7,8,5.5,71,5.8,3.9,10.4,106.1,59.4,,,,,,0,0,
1945,31,WAS,P/QB,,8,8,,128,182,70.3,1669,11,6.0,4,2.2,70,9.2,9.4,13.0,208.6,109.9,,,,,,,,
1946,32,WAS,P/QB,,11,2,,87,161,54.0,1163,8,5.0,17,10.6,51,7.2,3.5,13.4,105.7,54.2,,,,,,0,0,
1947,33,WAS,P/QB,,12,1,,210,354,59.3,2938,25,7.1,15,4.2,74,8.3,7.8,14.0,244.8,92.0,,,,,,0,0,
1948,34,WAS,QB,,12,3,,185,315,58.7,2599,22,7.0,23,7.3,86,8.3,6.4,14.0,216.6,78.3,,,,,,0,0,
1949,35,WAS,QB,,12,8,,145,255,56.9,1903,18,7.1,14,5.5,76,7.5,6.4,13.1,158.6,81.2,,,,,,0,0,
1950,36,WAS,QB,33,11,7,3-4-0,90,166,54.2,1130,10,6.0,11,6.6,56,6.8,5.0,12.6,102.7,68.1,,,,,,0,0,
1951*,37,WAS,QB,33,12,9,5-4-0,67,154,43.5,1104,7,4.5,17,11.0,53,7.2,3.1,16.5,92.0,43.8,,,,,,0,0,
1952,38,WAS,qb,33,7,5,3-2-0,20,33,60.6,152,2,6.1,1,3.0,20,4.6,4.5,7.6,21.7,79.4,,,,,,0,0,
Career,,,,,165,83,11-10-0,1693,2995,56.5,21886,187,6.2,203,6.8,86,7.3,5.5,12.9,132.6,72.2,,,,,,0,0,
