
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1937,23,PHI,,,8,0,,1,5,20.0,86,1,20.0,0,0.0,86,17.2,21.2,86.0,10.8,118.7,,,,,,0,0
Career,,,,,9,0,,1,5,20.0,86,1,20.0,0,0.0,86,17.2,21.2,86.0,9.6,118.7,,,,,,0,0
