
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1960,27,LAC,,17,14,,3,13,0,16,4.3,0.9,0.2,,,,,,,,,13,0,2
1961,28,SDG,,53,14,,5,5,1,9,1.0,0.4,0.4,,,,,,,,,5,1,0
Career,,,,,28,,8,18,1,16,2.3,0.6,0.3,,,,,,,,,18,1,2
