
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1953,22,PIT,,17,4,,,9,22,40.9,66,1,4.5,2,9.1,16,3.0,-0.2,7.3,16.5,25.9,,,,,,0,0,
1955,24,PIT,,18,7,,,24,43,55.8,280,2,4.7,3,7.0,47,6.5,4.3,11.7,40.0,62.2,,,,,,0,0,
1956,25,PIT,QB,18,12,11,4-7-0,124,275,45.1,1585,12,4.4,19,6.9,75,5.8,3.5,12.8,132.1,49.4,,,,,,0,0,
1957,26,CRD,,7,7,,,15,45,33.3,238,1,2.2,5,11.1,75,5.3,0.7,15.9,34.0,19.7,,,,,,0,0,
Career,,,,,30,11,4-7-0,172,385,44.7,2169,16,4.2,29,7.5,75,5.6,3.1,12.6,72.3,45.3,,,,,,0,0,
3 yrs,,PIT,,,23,11,4-7-0,157,340,46.2,1931,15,4.4,24,7.1,75,5.7,3.4,12.3,84.0,49.5,,,,,,0,0,
1 yr,,CRD,,,7,0,,15,45,33.3,238,1,2.2,5,11.1,75,5.3,0.7,15.9,34.0,19.7,,,,,,0,0,
