
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1954,23,CHI,P/qb,12,12,5,15,35,1,19,2.3,2.9,1.3,,,,,,,,,35,1,2
1957,26,CHI,qb,12,12,4,12,83,0,24,6.9,6.9,1.0,,,,,,,,,83,0,3
1958,27,CHI,qb,12,12,2,3,0,0,2,0.0,0.0,0.3,,,,,,,,,0,0,1
1959,28,CHI,qb,12,12,4,7,86,0,41,12.3,7.2,0.6,,,,,,,,,86,0,0
1960,29,CHI,qb,12,11,1,8,20,0,10,2.5,1.8,0.7,,,,,,,,,20,0,2
1961,30,RAM,QB,12,13,11,12,36,3,16,3.0,2.8,0.9,,,,,,,,,36,3,4
1962,31,RAM,QB,12,13,9,7,14,0,11,2.0,1.1,0.5,,,,,,,,,14,0,4
1963,32,2TM,,,6,4,4,-3,0,1,-0.8,-0.5,0.7,,,,,,,,,-3,0,2
,,GNB,,12,2,,1,-2,0,-2,-2.0,-1.0,0.5,,,,,,,,,-2,0,0
,,RAM,qb,12,4,4,3,-1,0,1,-0.3,-0.3,0.8,,,,,,,,,-1,0,2
1964,33,GNB,qb,12,5,,2,0,0,0,0.0,0.0,0.4,,,,,,,,,0,0,2
1965,34,GNB,qb,12,6,,4,-1,0,1,-0.3,-0.2,0.7,,,,,,,,,-1,0,1
1966,35,GNB,qb,12,8,1,4,7,0,4,1.8,0.9,0.5,,,,,,,,,7,0,0
1967,36,GNB,qb,12,6,2,5,6,0,4,1.2,1.0,0.8,,,,,,,,,6,0,2
1968,37,GNB,qb,12,10,5,8,24,0,13,3.0,2.4,0.8,,,,,,,,,24,0,4
1971,40,GNB,qb,12,6,1,1,1,1,1,1.0,0.2,0.2,,,,,,,,,1,1,1
Career,,,,,132,49,92,308,5,41,3.3,2.3,0.7,,,,,,,,,308,5,28
7 yrs,,GNB,,,43,9,25,35,1,13,1.4,0.8,0.6,,,,,,,,,35,1,10
5 yrs,,CHI,,,59,16,45,224,1,41,5.0,3.8,0.8,,,,,,,,,224,1,8
3 yrs,,RAM,,,30,24,22,49,3,16,2.2,1.6,0.7,,,,,,,,,49,3,10
