
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1948,22,BCL,QB,,14,12,52,157,4,0,3.0,11.2,3.7,,,,,,,,,157,4,0
1949,23,BCL,QB,,11,7,29,89,2,0,3.1,8.1,2.6,,,,,,,,,89,2,0
1950,24,BAL,QB,63,12,7,20,77,2,33,3.9,6.4,1.7,,,,,,,,,77,2,2
1951,25,SFO,qb,64,12,1,13,18,1,5,1.4,1.5,1.1,,,,,,,,,18,1,3
1952,26,SFO,qb,14,12,5,11,-11,0,4,-1.0,-0.9,0.9,,,,,,,,,-11,0,3
1953*,27,SFO,QB,14,11,10,14,41,6,14,2.9,3.7,1.3,,,,,,,,,41,6,3
1954*,28,SFO,QB,14,12,11,28,68,4,10,2.4,5.7,2.3,,,,,,,,,68,4,4
1955,29,SFO,QB,14,12,12,23,114,0,35,5.0,9.5,1.9,,,,,,,,,114,0,2
1956,30,SFO,QB,14,11,8,24,67,4,13,2.8,6.1,2.2,,,,,,,,,67,4,3
1957*+,31,SFO,QB,14,12,11,40,220,6,45,5.5,18.3,3.3,,,,,,,,,220,6,0
1958,32,SFO,qb,14,11,6,22,35,2,12,1.6,3.2,2.0,,,,,,,,,35,2,5
1959*,33,SFO,QB,14,11,10,11,24,0,22,2.2,2.2,1.0,,1,4,4.0,0,4,0.1,0.4,28,0,7
1960,34,SFO,qb,14,9,4,10,61,0,28,6.1,6.8,1.1,,,,,,,,,61,0,2
1961*,35,NYG,QB,14,13,10,25,85,3,17,3.4,6.5,1.9,,,,,,,,,85,3,0
1962*+,36,NYG,QB,14,14,14,17,108,2,23,6.4,7.7,1.2,,,,,,,,,108,2,6
1963*+,37,NYG,QB,14,13,13,18,99,2,18,5.5,7.6,1.4,,,,,,,,,99,2,5
1964,38,NYG,QB,14,14,11,15,-7,1,7,-0.5,-0.5,1.1,,,,,,,,,-7,1,11
Career,,,,,204,152,372,1245,39,45,3.3,6.1,1.8,,1,4,4.0,0,4,0.0,0.0,1249,39,56
10 yrs,,SFO,,,113,78,196,637,23,45,3.3,5.6,1.7,,1,4,4.0,0,4,0.0,0.0,641,23,32
4 yrs,,NYG,,,54,48,75,285,8,23,3.8,5.3,1.4,,,,,,,,,285,8,22
3 yrs,,BAL-BCL,,,37,26,101,323,8,33,3.2,8.7,2.7,,,,,,,,,323,8,2
