
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1946,23,RAM,,,9,0,,24,64,37.5,285,2,3.1,7,10.9,60,4.5,0.2,11.9,31.7,22.7,,,,,,0,0,
1947,24,RAM,,,9,0,,23,57,40.4,388,5,8.8,7,12.3,64,6.8,3.0,16.9,43.1,53.7,,,,,,0,0,
1948,25,RAM,qb,,12,3,,112,211,53.1,1390,14,6.6,7,3.3,69,6.6,6.4,12.4,115.8,82.1,,,,,,0,0,
1949,26,CRD,qb,,12,5,,63,150,42.0,748,10,6.7,13,8.7,48,5.0,2.4,11.9,62.3,44.0,,,,,,0,0,
1950*,27,CRD,P/QB,21,11,8,3-7-0,117,257,45.5,1636,17,6.6,24,9.3,58,6.4,3.5,14.0,148.7,49.7,,,,,,0,0,
1951,28,CRD,qb,22,7,4,1-3-0,56,114,49.1,809,3,2.6,10,8.8,80,7.1,3.7,14.4,115.6,44.8,,,,,,0,0,
1952,29,DET,qb,1,9,1,0-1-0,28,59,47.5,434,3,5.1,5,8.5,49,7.4,4.6,15.5,48.2,53.9,,,,,,0,0,
Career,,,,,69,21,4-11-0,423,912,46.4,5690,54,5.9,73,8.0,80,6.2,3.8,13.5,82.5,53.1,,,,,,0,0,
3 yrs,,CRD,,,30,17,4-10-0,236,521,45.3,3193,30,5.8,47,9.0,80,6.1,3.2,13.5,106.4,47.0,,,,,,0,0,
3 yrs,,RAM,,,30,3,,159,332,47.9,2063,21,6.3,21,6.3,69,6.2,4.6,13.0,68.8,62.6,,,,,,0,0,
1 yr,,DET,,,9,1,0-1-0,28,59,47.5,434,3,5.1,5,8.5,49,7.4,4.6,15.5,48.2,53.9,,,,,,0,0,
