
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1942,23,RAM,tb,,8,3,32,-31,0,13,-1.0,-3.9,4.0,,,,,,,,,-31,0,0
1945,26,RAM,qb,,2,1,2,0,0,0,0.0,0.0,1.0,,,,,,,,,0,0,2
1946,27,WAS,qb,,9,2,18,34,0,9,1.9,3.8,2.0,,4,53,13.3,0,21,0.4,5.9,87,0,1
1947,28,GNB,P/QB,,12,8,18,64,1,15,3.6,5.3,1.5,,,,,,,,,64,1,5
1948,29,GNB,P/QB,,12,8,24,73,1,23,3.0,6.1,2.0,,,,,,,,,73,1,1
Career,,,,,55,23,94,140,2,23,1.5,2.5,1.7,,4,53,13.3,0,21,0.1,1.0,193,2,9
3 yrs,,GNB,,,36,17,42,137,2,23,3.3,3.8,1.2,,,,,,,,,137,2,6
2 yrs,,RAM,,,10,4,34,-31,0,13,-0.9,-3.1,3.4,,,,,,,,,-31,0,2
1 yr,,WAS,,,9,2,18,34,0,9,1.9,3.8,2.0,,4,53,13.3,0,21,0.4,5.9,87,0,1
