
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1937+,23,WAS,TB,,11,5,86,240,1,41,2.8,21.8,7.8,,,,,,,,,240,1,0
1938*,24,WAS,TB,,9,3,21,35,0,9,1.7,3.9,2.3,,,,,,,,,35,0,0
1939*,25,WAS,P/tb,,9,1,14,46,0,13,3.3,5.1,1.6,,,,,,,,,46,0,0
1940*+,26,WAS,P/TB,,11,11,20,16,0,5,0.8,1.5,1.8,,,,,,,,,16,0,0
1941*,27,WAS,P/TB,,11,1,27,14,0,16,0.5,1.3,2.5,,,,,,,,,14,0,0
1942*+,28,WAS,P/TB,,11,8,20,61,1,28,3.1,5.5,1.8,,,,,,,,,61,1,0
1943+,29,WAS,P/TB,,10,7,19,-43,0,4,-2.3,-4.3,1.9,,,,,,,,,-43,0,0
1944,30,WAS,P/qb,,8,4,19,-38,0,17,-2.0,-4.8,2.4,,1,0,0.0,0,0,0.1,0.0,-38,0,0
1945,31,WAS,P/QB,,8,8,19,-71,0,34,-3.7,-8.9,2.4,,,,,,,,,-71,0,5
1946,32,WAS,P/QB,,11,2,18,-76,1,13,-4.2,-6.9,1.6,,,,,,,,,-76,1,7
1947,33,WAS,P/QB,,12,1,25,47,2,19,1.9,3.9,2.1,,,,,,,,,47,2,15
1948,34,WAS,QB,,12,3,4,4,1,7,1.0,0.3,0.3,,,,,,,,,4,1,7
1949,35,WAS,QB,,12,8,13,67,2,17,5.2,5.6,1.1,,,,,,,,,67,2,0
1950,36,WAS,QB,33,11,7,7,27,1,11,3.9,2.5,0.6,,,,,,,,,27,1,6
1951*,37,WAS,QB,33,12,9,11,-5,0,7,-0.5,-0.4,0.9,,,,,,,,,-5,0,6
1952,38,WAS,qb,33,7,5,1,1,0,1,1.0,0.1,0.1,,,,,,,,,1,0,1
Career,,,,,165,83,324,325,9,41,1.0,2.0,2.0,,1,0,0.0,0,0,0.0,0.0,325,9,47
